NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
224,"Catalán, P. & Aizpuru, I. (875). Datos florísticos de las cuencas de los ríos Bidasoa y Urumea. Munibe, 38, 163-167.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1986163168CN.pdf","Catalán, P. & Aizpuru, I. (875). Datos florísticos de las cuencas de los ríos Bidasoa y Urumea. Munibe, 38, 163-167.. https://www.aranzadi.eus/fileadmin/docs/Munibe/1986163168CN.pdf",42
461,"Romero Bujan, M. I. (2022). Notas sobre el Género Callitriche L. en Galicia: El Género Callitriche L. en Galicia. Nova Acta Científica Compostelana, 29, 1-8. https://doi.org/10.15304/nacc.id8155","Romero Bujan, M. I. (2022). Notas sobre el Género Callitriche L. en Galicia: El Género Callitriche L. en Galicia. Nova Acta Científica Compostelana, 29, 1-8. https://doi.org/10.15304/nacc.id8155",42
506,"Villegas, R. S., de la Peña, B. Q., Villegas, M. S., Velicia, F. J. D. S., Castro, J. C., Fernández, J. L. R., ... & Garcés, M. L. (2022). Novedades corológicas y nomenclaturales para la flora vascular de la Sierra de Gredos (Sistema Central), III. Flora Montiberica, (82), 24-30.. http://www.floramontiberica.org/FM/Flora_Montiberica82.pdf","Villegas, R. S., de la Peña, B. Q., Villegas, M. S., Velicia, F. J. D. S., Castro, J. C., Fernández, J. L. R., ... & Garcés, M. L. (2022). Novedades corológicas y nomenclaturales para la flora vascular de la Sierra de Gredos (Sistema Central), III. Flora Montiberica, (82), 24-30.. http://www.floramontiberica.org/FM/Flora_Montiberica82.pdf",42
222,"Castro Prigent, P., Sánchez García, Á., Gómez-Murillo, P., Álvarez González, J.F. 2020. Revisión del género Narcissus L. (Amaryllidaceae) en Extremadura. Folia Botanica Extremadurensis 14: 5-14.. https://dialnet.unirioja.es/servlet/articulo?codigo=7744636","Castro Prigent, P., Sánchez García, Á., Gómez-Murillo, P., Álvarez González, J.F. 2020. Revisión del género Narcissus L. (Amaryllidaceae) en Extremadura. Folia Botanica Extremadurensis 14: 5-14.. https://dialnet.unirioja.es/servlet/articulo?codigo=7744636",39
166,"Aizpuru, I., Aperribay, J. A., Garin, F., Garmendia, J. & Olariaga, I. (2009) Contirbuciones al concoimiento de la flora del País Vasco (VIII) Munibe, 56, 75-81.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2009075081CN.pdf","Aizpuru, I., Aperribay, J. A., Garin, F., Garmendia, J. & Olariaga, I. (2009) Contirbuciones al concoimiento de la flora del País Vasco (VIII) Munibe, 56, 75-81.. https://www.aranzadi.eus/fileadmin/docs/Munibe/2009075081CN.pdf",36
314,"Guillen, A., Serrano-Tamay, F. J., Peris, J. B., & Arrillaga, I. (2021). Scutellospora deformata (Scutellosporaceae), a new species of Gigasporales from the Mediterranean sand dunes of Spain. Phytotaxa, 502(1), 67-78.. https://doi.org/10.11646/phytotaxa.502.1.4","Guillen, A., Serrano-Tamay, F. J., Peris, J. B., & Arrillaga, I. (2021). Scutellospora deformata (Scutellosporaceae), a new species of Gigasporales from the Mediterranean sand dunes of Spain. Phytotaxa, 502(1), 67-78.. https://doi.org/10.11646/phytotaxa.502.1.4",36
367,"Martínez-Veiga, E. & Buján-Rodríguez, I. (2023). Nuevas citas de helechos escasos en Galicia. Nova Acta Científica Compostelana, 30. 1-11.. https://doi.org/10.15304/nacc.id9057.","Martínez-Veiga, E. & Buján-Rodríguez, I. (2023). Nuevas citas de helechos escasos en Galicia. Nova Acta Científica Compostelana, 30. 1-11.. https://doi.org/10.15304/nacc.id9057.",36
403,"Molina Martín, C., Mateo Sanz, G., Montamarta Prieto, G., Eugenio Gozalbo, M.. 2020. Novedades de flora soriana, 2. Plantas arvenses, ruderales o neófitas. Flora montiberica 76: 51-55.. http://www.floramontiberica.org/FM/076/Flora_Montib_076_051-055_2020.pdf","Molina Martín, C., Mateo Sanz, G., Montamarta Prieto, G., Eugenio Gozalbo, M.. 2020. Novedades de flora soriana, 2. Plantas arvenses, ruderales o neófitas. Flora montiberica 76: 51-55.. http://www.floramontiberica.org/FM/076/Flora_Montib_076_051-055_2020.pdf",36
464,"Rufo, J. M. I., Garcia, J. P., Bitrián, C. C., Rebolé, R., García, R., & Sardinero, S. (2023). Nuevos datos para la flora de Castilla-La Mancha. Flora Montiberica, (85), 83-86.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf","Rufo, J. M. I., Garcia, J. P., Bitrián, C. C., Rebolé, R., García, R., & Sardinero, S. (2023). Nuevos datos para la flora de Castilla-La Mancha. Flora Montiberica, (85), 83-86.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf",36
492,"Silva V., Ribeiro S., Molina J. A., Pinto-Cruz C., Costa J. C. y Espírito-Santo D. (2021). Resolving some nomenclatural issues on ’Isoeto-Nanojuncetea’ and four new communities of the Iberian Peninsula. Mediterranean Botany, 42, e63383. https://doi.org/10.5209/mbot.63383","Silva V., Ribeiro S., Molina J. A., Pinto-Cruz C., Costa J. C. y Espírito-Santo D. (2021). Resolving some nomenclatural issues on ’Isoeto-Nanojuncetea’ and four new communities of the Iberian Peninsula. Mediterranean Botany, 42, e63383. https://doi.org/10.5209/mbot.63383",36
