"Taxon","UTM10x10","UTM1x1","Ref"
"Zannichellia contorta","30TWK67","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK94","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK85","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK74","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK78","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK79","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK97","---","García Cardo et al., 2020"
"Zannichellia contorta","30TWK98","---","García Cardo et al., 2020"
"Zannichellia contorta","30TXK14","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SWK92","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SWK90","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SWK82","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK12","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK00","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK01","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK02","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK32","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK40","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK30","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK31","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK22","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30SXK42","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK34","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK65","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK67","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK69","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK59","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK68","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK57","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK58","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK93","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK94","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK84","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK85","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK86","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK87","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK88","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK89","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK74","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK83","---","García Cardo et al., 2020"
"Acer monspessulanum monspessulanum","30TWK76","---","García Cardo et al., 2020"
