Taxon,UTM10x10
Halimione portulacoides,29TNE29
Halimione portulacoides,29TNF20
Halimione portulacoides,29TNF21
Halimione portulacoides,29TNF22
Halimione portulacoides,29SNB30
Halimione portulacoides,29SNB31
Halimione portulacoides,29SNB40
Halimione portulacoides,29SNB41
Halimione portulacoides,29SNB50
Halimione portulacoides,29SNB60
Halimione portulacoides,29SNB70
Halimione portulacoides,29SNA99
Halimione portulacoides,29SPB10
Halimione portulacoides,29SPB20
Halimione portulacoides,29SPB21
Halimione portulacoides,29SPB31
Halimione portulacoides,29SPB32
Patellifolia patellaris,29SMC85
Patellifolia patellaris,29SMC95
Salicornia ramosissima,29SMC86
Salicornia ramosissima,29SMD87
Salicornia ramosissima,29SNB14
Salicornia ramosissima,29TNE14
Salicornia ramosissima,29SNB27
Salicornia ramosissima,29SNB41
Salicornia ramosissima,29SPB00
Salsola kali,29SMC77
Salsola kali,29SMC78
Salsola kali,29SMC95
Salsola kali,29SMD98
Salsola kali,29SNA09
Salsola kali,29SNB00
Salsola kali,29SNB01
Salsola kali,29SNC05
Salsola kali,29TNE03
Salsola kali,29SNB10
Salsola kali,29SNB13
Salsola kali,29SNB14
Salsola kali,29SNC11
Salsola kali,29TNE14
Salsola kali,29TNE19
Salsola kali,29TNG10
Salsola kali,29SNB60
Salsola kali,29SNB70
Salsola kali,29SNA89
Salsola kali,29SNB80
Salsola kali,29SNA99
Salsola kali,29SPB10
Salsola kali,29SPB31
Salsola kali,29SPB41
Salsola soda,29SMC87
Salsola soda,29SMC97
Salsola soda,29SMC99
Salsola soda,29SNB31
Salsola soda,29SNB41
Salsola soda,29SNB50
Salsola soda,29SNA99
Salsola soda,29SPA09
Salsola soda,29SPB31
Salsola vermiculata,29SMC77
Salsola vermiculata,29SMC85
Salsola vermiculata,29SMC87
Salsola vermiculata,29SMC95
Salsola vermiculata,29SNA09
Salsola vermiculata,29SNB01
Salsola vermiculata,29SNC05
Salsola vermiculata,29SNC06
Salsola vermiculata,29SNB10
Salsola vermiculata,29SNB13
Salsola vermiculata,29SNB14
Salsola vermiculata,29SNC15
Salsola vermiculata,29SNB27
Salsola vermiculata,29SNB30
Salsola vermiculata,29SNB31
Salsola vermiculata,29SNB40
Salsola vermiculata,29SNB41
Salsola vermiculata,29SNB50
Salsola vermiculata,29SNB60
Salsola vermiculata,29SNA89
Salsola vermiculata,29SPA09
Salsola vermiculata,29SPB10
Salsola vermiculata,29SPB41
Sarcocornia fruticosa,29SMC97
Sarcocornia fruticosa,29SNA09
Sarcocornia fruticosa,29SNC16
Sarcocornia fruticosa,29SNB41
Sarcocornia fruticosa,29SPB10
Sarcocornia fruticosa,29SPB31
Sarcocornia perennis,29SMC87
Sarcocornia perennis,29SNC06
Sarcocornia perennis,29SNC15
