"Taxon","UTM.cell"
"Centaurea_castellanoides","30SVH91"
"Centaurea_castellanoides","30SVH92"
"Centaurea_castellanoides","30SVJ90"
"Centaurea_castellanoides","30SVK62"
"Centaurea_castellanoides","30TVK65"
"Centaurea_castellanoides","30TVK89"
"Centaurea_castellanoides","30SVK92"
"Centaurea_castellanoides","30TVK97"
"Centaurea_castellanoides","30TVK98"
"Centaurea_castellanoides","30TVM02"
"Centaurea_castellanoides","30SWG08"
"Centaurea_castellanoides","30SWG09"
"Centaurea_castellanoides","30SWG19"
"Centaurea_castellanoides","30SWG39"
"Centaurea_castellanoides","30SWG48"
"Centaurea_castellanoides","30SWH01"
"Centaurea_castellanoides","30SWH21"
"Centaurea_castellanoides","30SWH22"
"Centaurea_castellanoides","30SWH26"
"Centaurea_castellanoides","30SWH32"
"Centaurea_castellanoides","30SWH33"
"Centaurea_castellanoides","30SWH37"
"Centaurea_castellanoides","30SWH45"
"Centaurea_castellanoides","30SWH47"
"Centaurea_castellanoides","30SWH55"
"Centaurea_castellanoides","30SWH56"
"Centaurea_castellanoides","30SWH62"
"Centaurea_castellanoides","30SWH64"
"Centaurea_castellanoides","30SWH72"
"Centaurea_castellanoides","30SWH79"
"Centaurea_castellanoides","30SWH82"
"Centaurea_castellanoides","30SWJ76"
"Centaurea_castellanoides","30SWJ80"
"Centaurea_castellanoides","30SWJ91"
"Centaurea_castellanoides","30SWK12"
"Centaurea_castellanoides","30TWK13"
"Centaurea_castellanoides","30TWK25"
"Centaurea_castellanoides","30TWK34"
"Centaurea_castellanoides","30TWK68"
"Centaurea_castellanoides","30SWK72"
"Centaurea_castellanoides","30TWK73"
"Centaurea_castellanoides","30TWK78"
"Centaurea_castellanoides","30TWK79"
"Centaurea_castellanoides","30SWK82"
"Centaurea_castellanoides","30TWK88"
"Centaurea_castellanoides","30TWL34"
"Centaurea_castellanoides","30TWL56"
"Centaurea_castellanoides","30TWL64"
"Centaurea_castellanoides","30TWL67"
"Centaurea_castellanoides","30TWL90"
"Centaurea_castellanoides","30TWM42"
"Centaurea_castellanoides","30SXH07"
"Centaurea_castellanoides","30SXH68"
"Centaurea_castellanoides","30SXJ10"
"Centaurea_castellanoides","30TXL18"
"Centaurea_castellanoides","30TXL35"
"Centaurea_limbata","29TMH74"
"Centaurea_limbata","29TMH75"
"Centaurea_limbata","29TMH84"
"Centaurea_limbata","29TMH85"
"Centaurea_limbata","29TMH87"
"Centaurea_limbata","29TMH88"
"Centaurea_limbata","29TMH91"
"Centaurea_limbata","29TMH94"
"Centaurea_limbata","29SNE00"
"Centaurea_limbata","29SNE12"
"Centaurea_limbata","29TNE14"
"Centaurea_limbata","29SNE22"
"Centaurea_limbata","29TNE45"
"Centaurea_limbata","29TNE49"
"Centaurea_limbata","29TNE69"
"Centaurea_limbata","29TNE75"
"Centaurea_limbata","29TNE79"
"Centaurea_limbata","29TNE95"
"Centaurea_limbata","29TNF31"
"Centaurea_limbata","29TNF32"
"Centaurea_limbata","29TNF40"
"Centaurea_limbata","29TNF45"
"Centaurea_limbata","29TNF46"
"Centaurea_limbata","29TNF50"
"Centaurea_limbata","29TNF60"
"Centaurea_limbata","29TNF82"
"Centaurea_limbata","29TNG07"
"Centaurea_limbata","29TNG08"
"Centaurea_limbata","29TNG09"
"Centaurea_limbata","29TNG11"
"Centaurea_limbata","29TNG12"
"Centaurea_limbata","29TNG13"
"Centaurea_limbata","29TNG17"
"Centaurea_limbata","29TNG18"
"Centaurea_limbata","29TNG22"
"Centaurea_limbata","29TNG35"
"Centaurea_limbata","29TNG57"
"Centaurea_limbata","29TNG62"
"Centaurea_limbata","29TNG72"
"Centaurea_limbata","29TNG73"
"Centaurea_limbata","29TNG88"
"Centaurea_limbata","29TNH03"
"Centaurea_limbata","29TNH10"
"Centaurea_limbata","29TNH11"
"Centaurea_limbata","29TNH12"
"Centaurea_limbata","29TNH20"
"Centaurea_limbata","29TNH21"
"Centaurea_limbata","29TNH31"
"Centaurea_limbata","29TNH32"
"Centaurea_limbata","29TNH34"
"Centaurea_limbata","29TNH41"
"Centaurea_limbata","29TNH45"
"Centaurea_limbata","29TNH47"
"Centaurea_limbata","29TNH51"
"Centaurea_limbata","29TNH68"
"Centaurea_limbata","29TNH70"
"Centaurea_limbata","29TNH83"
"Centaurea_limbata","29TNH85"
"Centaurea_limbata","29TNJ40"
"Centaurea_limbata","29TNJ51"
"Centaurea_limbata","29TPF31"
"Centaurea_limbata","29TPG49"
"Centaurea_limbata","29TPG69"
"Centaurea_limbata","29TPG89"
"Centaurea_limbata","29TPH07"
"Centaurea_limbata","29TPH16"
"Centaurea_limbata","29TPH25"
"Centaurea_limbata","29TPH52"
"Centaurea_limbata","29TPH54"
"Centaurea_limbata","29TPH70"
"Centaurea_limbata","29TQE48"
"Centaurea_limbata","30TTK57"
"Centaurea_gadorensis","30SVF99"
"Centaurea_gadorensis","30SWF08"
"Centaurea_gadorensis","30SWF09"
"Centaurea_gadorensis","30SWF18"
"Centaurea_gadorensis","30SWF28"
"Centaurea_avilae","30TTK66"
"Centaurea_avilae","30TTK75"
"Centaurea_avilae","30TTK76"
"Centaurea_avilae","30TTK77"
"Centaurea_avilae","30TTK85"
"Centaurea_avilae","30TTK88"
"Centaurea_avilae","30TTK95"
"Centaurea_avilae","30TTK96"
"Centaurea_avilae","30TUK05"
"Centaurea_avilae","30TUK06"
"Centaurea_avilae","30TUK15"
"Centaurea_avilae","30TUK16"
"Centaurea_avilae","30TUK28"
"Centaurea_cordubensis","29SPB45"
"Centaurea_cordubensis","29SPB99"
"Centaurea_cordubensis","29SPC20"
"Centaurea_cordubensis","29SPC94"
"Centaurea_cordubensis","29SPC95"
"Centaurea_cordubensis","29SPD50"
"Centaurea_cordubensis","29SPD70"
"Centaurea_cordubensis","29SPD81"
"Centaurea_cordubensis","29SQC06"
"Centaurea_cordubensis","29SQC25"
"Centaurea_cordubensis","29SQC26"
"Centaurea_cordubensis","29SQC28"
"Centaurea_cordubensis","29SQC33"
"Centaurea_cordubensis","29SQC44"
"Centaurea_cordubensis","30STH51"
"Centaurea_cordubensis","30STH52"
"Centaurea_cordubensis","30STH61"
"Centaurea_cordubensis","30STH80"
"Centaurea_cordubensis","30STH81"
"Centaurea_cordubensis","30STH83"
"Centaurea_cordubensis","30STH92"
"Centaurea_cordubensis","30STH94"
"Centaurea_cordubensis","30STJ70"
"Centaurea_cordubensis","30STJ96"
"Centaurea_cordubensis","30SUG39"
"Centaurea_cordubensis","30SUH01"
"Centaurea_cordubensis","30SUH02"
"Centaurea_cordubensis","30SUH03"
"Centaurea_cordubensis","30SUH08"
"Centaurea_cordubensis","30SUH16"
"Centaurea_cordubensis","30SUH28"
"Centaurea_cordubensis","30SUH30"
"Centaurea_cordubensis","30SUH40"
"Centaurea_cordubensis","30SUH41"
"Centaurea_cordubensis","30SUH67"
"Centaurea_cordubensis","30SUH93"
"Centaurea_cordubensis","30SUJ23"
"Centaurea_cordubensis","30SUJ72"
"Centaurea_cordubensis","30SUJ82"
