"Taxon","UTM.cell"
"Adenocarpus hispanicus","29TQE39"
"Adenocarpus hispanicus","29TQE48"
"Adenocarpus hispanicus","30STF53"
"Adenocarpus hispanicus","30STJ58"
"Adenocarpus hispanicus","30STJ59"
"Adenocarpus hispanicus","30STJ69"
"Adenocarpus hispanicus","30STJ78"
"Adenocarpus hispanicus","30STJ79"
"Adenocarpus hispanicus","30STJ84"
"Adenocarpus hispanicus","30STJ85"
"Adenocarpus hispanicus","30STJ89"
"Adenocarpus hispanicus","30STJ96"
"Adenocarpus hispanicus","30STJ97"
"Adenocarpus hispanicus","30STJ98"
"Adenocarpus hispanicus","30STK40"
"Adenocarpus hispanicus","30STK50"
"Adenocarpus hispanicus","30STK51"
"Adenocarpus hispanicus","30STK60"
"Adenocarpus hispanicus","30SUH67"
"Adenocarpus hispanicus","30SUH76"
"Adenocarpus hispanicus","30SUH84"
"Adenocarpus hispanicus","30SUH85"
"Adenocarpus hispanicus","30SUH86"
"Adenocarpus hispanicus","30SUH94"
"Adenocarpus hispanicus","30SUH95"
"Adenocarpus hispanicus","30SUJ06"
"Adenocarpus hispanicus","30SUJ07"
"Adenocarpus hispanicus","30SUJ17"
"Adenocarpus hispanicus","30SUJ58"
"Adenocarpus hispanicus","30SUJ67"
"Adenocarpus hispanicus","30SUJ99"
"Adenocarpus hispanicus","30SVG40"
"Adenocarpus hispanicus","30SVH05"
"Adenocarpus hispanicus","30SVH44"
"Adenocarpus hispanicus","30SVH55"
"Adenocarpus hispanicus","30SVJ12"
"Adenocarpus hispanicus","30SVJ67"
"Adenocarpus hispanicus","30TTL73"
"Adenocarpus hispanicus","30TUN25"
"Adenocarpus hispanicus","30TUN36"
"Adenocarpus hispanicus","30TYL21"
"Adenocarpus hispanicus","31TCG19"
"Adenocarpus lainzii","30TXP71"
"Adenostyles alliariae","30TXN48"
"Adenostyles alliariae","30TXN97"
"Adiantum capillus-veneris","30TXN48"
"Adiantum capillus-veneris","30TXN59"
"Adiantum capillus-veneris","30TXN78"
"Adiantum capillus-veneris","30TXN97"
"Adiantum capillus-veneris","30TXP00"
"Adiantum capillus-veneris","30TXP11"
"Adiantum capillus-veneris","30TXP20"
"Adiantum capillus-veneris","30TXP21"
"Adiantum capillus-veneris","30TXP22"
"Adiantum capillus-veneris","30TXP70"
"Adiantum capillus-veneris","30TXP71"
"Adiantum capillus-veneris","30TXP81"
"Adonis annua","30SWG69"
"Adonis annua","30SWG76"
"Adonis annua","30SWG79"
"Adonis annua","30SWG87"
"Adonis annua","30SWG88"
"Adonis annua","30SWG89"
"Adonis annua","30SWG97"
"Adonis annua","30SWG98"
"Adonis annua","30SWG99"
"Adonis annua","30SWH50"
"Adonis annua","30SWH51"
"Adonis annua","30SWH60"
"Adonis annua","30SWH61"
"Adonis annua","30SWH62"
"Adonis annua","30SWH70"
"Adonis annua","30SWH71"
"Adonis annua","30SWH72"
"Adonis annua","30SWH73"
"Adonis annua","30SWH76"
"Adonis annua","30SWH80"
"Adonis annua","30SWH81"
"Adonis annua","30SWH82"
"Adonis annua","30SWH83"
"Adonis annua","30SWH90"
"Adonis annua","30SWH91"
"Adonis annua","30SWH92"
"Adonis annua","30SWH93"
"Adonis annua","30SXG08"
"Adonis annua","30SXG09"
"Adonis annua","30SXG18"
"Adonis annua","30SXG19"
"Adonis annua","30SXG28"
"Adonis annua","30SXG29"
"Adonis annua","30SXH00"
"Adonis annua","30SXH01"
"Adonis annua","30SXH02"
"Adonis annua","30SXH03"
"Adonis annua","30SXH04"
"Adonis annua","30SXH10"
"Adonis annua","30SXH11"
"Adonis annua","30SXH12"
"Adonis annua","30SXH13"
"Adonis annua","30SXH20"
"Adonis annua","30SXH21"
"Adonis annua","30SXH22"
"Adonis annua","30SXH25"
"Adonis annua","30SXH34"
"Adonis annua","30SXH35"
"Adonis annua","30SXH36"
"Adonis annua","30SXH37"
"Adonis annua","30SXH38"
"Adonis annua","30SXH43"
"Adonis annua","30SXH44"
