Taxon,UTM10x10,Notas
Trifolium incarnatum,29TNF99,IRG
Trifolium incarnatum,29TNG22,IRG
Trifolium incarnatum,29TPE33,IRG
Trifolium incarnatum,29TPE43,IRG
Trifolium incarnatum,29TPF99,IRG
Trifolium incarnatum,29TPG83,IRG
Trifolium incarnatum,30STK52,IRG
Trifolium incarnatum,30SVF37,IRG
Trifolium incarnatum,30TVK37,IRG
Trifolium incarnatum,30TXN21,IRG
Trifolium isthmocarpum,30TXM33,IRG
Trifolium ligusticum,30TXK78,IRG
Trifolium obscurum,30TXM71,IRG
Trifolium obscurum,30TUK16,IRG
Trifolium suffocatum,30SYJ31,IRG
Tuberaria commutata,30SXK00,IRG
Tuberaria commutata,30SXK12,IRG
Tuberaria commutata,30SXK21,IRG
Tuberaria commutata,30SXK30,IRG
Tuberaria commutata,30SXK50,IRG
Tuberaria commutata,30TWK63,IRG
Tuberaria commutata,30TWL33,IRG
Tuberaria echioides,29SPD70,IRG
Tuberaria echioides,29SQC15,IRG
Tuberaria echioides,30SVG26,IRG
Tulipa sylvestris sylvestris,30TUK54,IRG
Ulex minor,30TVN57,IRG
Ulex minor,30TVN56,IRG
Ulmus glabra,29SQB09,IRG
Ulmus glabra,29TQE47,IRG
Urginea maritima,30TXL29,IRG
Veronica catenata,30TWM64,IRG
Vicia cracca,29SPD70,IRG
Vicia cracca,30STJ98,IRG
Vicia cracca,30TTK94,IRG
Vicia cracca,30TTK56,IRG
Vicia lutea vestita,30TYK03,IRG
Vicia lutea vestita,30TYK14,IRG
Vicia lutea vestita,30SYJ39,IRG
Vinca minor,29SQC31,IRG
Vinca minor,30SWK61,IRG
Vinca minor,30TTK76,IRG
Vinca minor,29TQE16,IRG
Viola alba,29SPD70,IRG
Viola alba,29SPC94,IRG
Viola alba,29SQC25,IRG
Asplenium scolopendrium,30TVK47,IRG (SMM)
Callitriche cribrosa,29SPB54,JCM
Callitriche cribrosa,29SPD54,JCM
Callitriche obtusangula,30STJ98,JCM
Dryopteris corleyi,30TWN84,JCM
Geranium dolomiticum,29TPG89,JCM
Geranium dolomiticum,29TPH91,JCM
Geranium dolomiticum,29TQH00,JCM
Geranium dolomiticum,29TQH15,JCM
Geranium dolomiticum,29TQH16,JCM
Geranium dolomiticum,29TQH25,JCM
Hydrocharis morsus-ranae,30TVN16,JCM
Hydrocharis morsus-ranae,30TVN26,JCM
Pinus halepensis,29SMD91,JCM
Pinus halepensis,29SNB50,JCM
Pinus halepensis,29SNB61,JCM
Pinus halepensis,29SNB72,JCM
Pinus halepensis,29SNC37,JCM
Pinus halepensis,29SND01,JCM
Pinus halepensis,29SND16,JCM
Pinus halepensis,29SND25,JCM
Pinus halepensis,29SPD61,JCM
Pinus halepensis,29SPD70,JCM
Pinus halepensis,29TNE43,JCM
Pinus halepensis,29TNE45,JCM
Pinus sylvestris,29SMD85,JCM
Pinus sylvestris,30STJ69,JCM
Pinus sylvestris,30SUF16,JCM
Pinus sylvestris,30SVG55,JCM
Pinus sylvestris,30SVG68,JCM
Pinus uncinata,29TPH67,JCM
Pinus uncinata,29TPH67,JCM
Pinus uncinata,29TPH86,JCM
Pinus uncinata,29TPH86,JCM
Pinus uncinata,29TPJ40,JCM
Pinus uncinata,29TPJ40,JCM
Pinus uncinata,30TXL28,JCM
Pinus uncinata,30TXL28,JCM
Quercus canariensis,29SMC88,JCM
Quercus canariensis,29SMD70,JCM
Quercus canariensis,29SNB00,JCM
Quercus canariensis,29SNB27,JCM
Quercus canariensis,29SNC30,JCM
Quercus canariensis,29SNC31,JCM
Quercus canariensis,29SNC32,JCM
Quercus canariensis,29SNC62,JCM
Quercus canariensis,29SNC76,JCM
Quercus canariensis,29SNC77,JCM
Quercus canariensis,29SNC78,JCM
Quercus canariensis,29SND07,JCM
Quercus canariensis,29SND70,JCM
Quercus canariensis,29SND71,JCM
Quercus canariensis,29SND81,JCM
Quercus canariensis,29SNE32,JCM
Quercus canariensis,29SPC19,JCM
Quercus canariensis,29SPC96,JCM
Quercus canariensis,29SPD01,JCM
Quercus canariensis,29SPD11,JCM
Quercus canariensis,29SPD35,JCM
Quercus canariensis,29SQC06,JCM
Quercus canariensis,29SQC44,JCM
Quercus canariensis,29SQD00,JCM
Quercus canariensis,29SQE51,JCM
Quercus canariensis,29TNE24,JCM
Quercus canariensis,29TNE34,JCM
Quercus canariensis,29TNF22,JCM
Quercus canariensis,29TPF05,JCM
Quercus canariensis,29TPF15,JCM
Quercus canariensis,29TPF25,JCM
Quercus canariensis,29TPF77,JCM
Quercus canariensis,29TPF87,JCM
Quercus canariensis,29TPF88,JCM
Quercus canariensis,29TPF98,JCM
Quercus canariensis,29TPG11,JCM
Quercus canariensis,29TPG70,JCM
Quercus canariensis,29TPG90,JCM
Quercus canariensis,29TPG93,JCM
Quercus canariensis,29TQF09,JCM
Quercus canariensis,30SUJ20,JCM
Quercus canariensis,30SUJ21,JCM
Quercus canariensis,30SVG99,JCM
Quercus canariensis,30SWG09,JCM
Quercus canariensis,30SWJ77,JCM
Quercus canariensis,30SWJ98,JCM
Quercus canariensis,30TUN24,JCM
Quercus canariensis,30TVL90,JCM
Quercus canariensis,30TWK58,JCM
Quercus canariensis,30TWK95,JCM
Quercus canariensis,30TWK98,JCM
Quercus canariensis,30TWL54,JCM
Quercus canariensis,30TYK03,JCM
Quercus canariensis,31TBG56,JCM
Quercus canariensis,31TCG51,JCM
Quercus lusitanica,30STJ98,JCM
Quercus lusitanica,31TCG23,JCM
Quercus pauciradiata,30TTK94,JCM
Quercus pauciradiata,30TTL76,JCM
Quercus pauciradiata,31TCG26,JCM
Quercus pubescens,29SMC99,JCM
Quercus pubescens,29SMD86,JCM
Quercus pubescens,29TNF84,JCM
Quercus pubescens,29TPE47,JCM
Quercus pubescens,29TPE95,JCM
Quercus pubescens,29TPE95,JCM
Quercus pubescens,29TPF05,JCM
Quercus pubescens,29TPF49,JCM
Quercus pubescens,29TPF72,JCM
Quercus pubescens,29TPF73,JCM
Quercus pubescens,29TPF98,JCM
Quercus pubescens,29TPG40,JCM
Quercus pubescens,29TPG70,JCM
Quercus pubescens,29TPG80,JCM
Quercus pubescens,29TPG83,JCM
Quercus pubescens,29TPG93,JCM
Quercus pubescens,30STJ98,JCM
Quercus pubescens,30STK52,JCM
Quercus pubescens,30STK72,JCM
Quercus pubescens,30STK73,JCM
Quercus pubescens,30STK74,JCM
Quercus pubescens,30TTK63,JCM
Quercus pubescens,30TTK94,JCM
Quercus pubescens,30TUK03,JCM
Quercus pubescens,30TUM51,JCM
Quercus pubescens,30TUN24,JCM
Quercus pubescens,30TUN44,JCM
Quercus pubescens,30TUN48,JCM
Quercus pubescens,30TUN74,JCM
Quercus pubescens,30TUN76,JCM
Quercus pubescens,30TVM28,JCM
Quercus pubescens,30TVM28,JCM
Quercus pubescens,30TVM86,JCM
Quercus pubescens,30TWM66,JCM
Quercus pubescens,30TXK04,JCM
Quercus pubescens,30TXK29,JCM
Quercus pubescens,30TXK94,JCM
Quercus pubescens,30TXK97,JCM
Quercus pyrenaica,29SNB24,JCM
Quercus pyrenaica,29SNB24,JCM
Quercus pyrenaica,29SNB35,JCM
Quercus pyrenaica,29SNB35,JCM
Quercus pyrenaica,29SNC62,JCM
Quercus pyrenaica,29SNC62,JCM
Quercus pyrenaica,29SPB01,JCM
Quercus pyrenaica,29SQB01,JCM
Quercus pyrenaica,29SPB95,JCM
Quercus pyrenaica,29SPB57,JCM
Quercus robur,29SQB09,JCM
Quercus robur,29SNB12,JCM
Quercus robur,29SNB13,JCM
Quercus robur,29SNB23,JCM
Quercus robur,29SNB32,JCM
Quercus robur,29SNB36,JCM
Quercus robur,29SNC20,JCM
Quercus robur,29SNC31,JCM
Quercus robur,29SNC32,JCM
Quercus robur,29SNC76,JCM
Quercus robur,29SNC96,JCM
Quercus robur,29SPB95,JCM
Quercus robur,29SQC21,JCM
Quercus robur,29SQD00,JCM
Quercus robur,29SQD53,JCM
Quercus robur,30SUJ20,JCM
Quercus robur,30SUJ21,JCM
Quercus robur,30SVF99,JCM
Quercus robur,30TYN10,JCM
Sesamoides interrupta,29SNC12,JCM
Sesamoides interrupta,29SNC12,JCM
Sesamoides interrupta,29SNC23,JCM
Sesamoides interrupta,29SNC23,JCM
Sesamoides interrupta,29SNC25,JCM
Sesamoides interrupta,29SNC25,JCM
