Taxon,UTM10x10,UTM1x1,Ref
Launaea nudicaulis,30SWG13,30SWG1431,https://www.doi.org/10.15470/akznrb
Lavandula multifida,30SWG13,30SWG1431,https://www.doi.org/10.15470/akznrb
Valantia muralis,30SWG13,30SWG1431,https://www.doi.org/10.15470/akznrb
Lotus creticus,30SXG13,30SXG1431,https://www.doi.org/10.15470/akznrb
Anthyllis cytisoides,30SXG13,30SXG1633,https://www.doi.org/10.15470/akznrb
Leysera leyseroides,30SXG13,30SXG1633,https://www.doi.org/10.15470/akznrb
Phagnalon saxatile,30SXG13,30SXG1633,https://www.doi.org/10.15470/akznrb
Lygeum spartum,30SXG13,30SXG1633,https://www.doi.org/10.15470/akznrb
Fagonia cretica,30SXG13,30SXG1633,https://www.doi.org/10.15470/akznrb
Campanula mollis,30SWG90,---,https://www.doi.org/10.15470/akznrb
Teucrium turredanum,30SWG91,---,https://www.doi.org/10.15470/akznrb
Lavandula latifolia,30SWG42,---,https://www.doi.org/10.15470/akznrb
Lavandula latifolia,30SWG42,---,https://www.doi.org/10.15470/akznrb
Athamanta vayredana,30SWF18,30SWF1585,https://www.doi.org/10.15470/akznrb
Euphorbia nicaeensis nicaeensis,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Thymus membranaceus,30SWF18,---,https://www.doi.org/10.15470/akznrb
Iberis saxatilis cinerea,30SWF08,30SWF0985,https://www.doi.org/10.15470/akznrb
Reseda phyteuma,30SWG41,---,https://www.doi.org/10.15470/akznrb
Reseda lanceolata lanceolata,30SWG52,---,https://www.doi.org/10.15470/akznrb
Moricandia arvensis,30SWG52,---,https://www.doi.org/10.15470/akznrb
Teucrium charidemi,30SWF77,---,https://www.doi.org/10.15470/akznrb
Teucrium lanigerum,30SWF88,30SWF8986,https://www.doi.org/10.15470/akznrb
Spergula fallax,30SWF89,30SWF8193,https://www.doi.org/10.15470/akznrb
Primula elatior lofthousei,30SWG10,30SWG1107,https://www.doi.org/10.15470/akznrb
Conopodium bunioides,30SWG10,30SWG1107,https://www.doi.org/10.15470/akznrb
Crataegus monogyna,30SWG10,30SWG1107,https://www.doi.org/10.15470/akznrb
Geranium lucidum,30SWG10,30SWG1107,https://www.doi.org/10.15470/akznrb
Viola riviniana,30SWG10,30SWG1107,https://www.doi.org/10.15470/akznrb
Geranium robertianum,30SWG10,30SWG1506,https://www.doi.org/10.15470/akznrb
Hormathophylla spinosa,30SWG00,30SWG0305,https://www.doi.org/10.15470/akznrb
Scrophularia scorodonia,30SWG00,30SWG0001,https://www.doi.org/10.15470/akznrb
Diplotaxis harra lagascana,30SWF80,---,https://www.doi.org/10.15470/akznrb
Lepidium subulatum,30SWG70,30SWG7905,https://www.doi.org/10.15470/akznrb
Euphorbia matritensis,30SWG70,30SWG7905,https://www.doi.org/10.15470/akznrb
Santolina viscosa,30SWG80,---,https://www.doi.org/10.15470/akznrb
Santolina viscosa,30SWG80,---,https://www.doi.org/10.15470/akznrb
Helianthemum alypoides,30SWG81,30SWG8310,https://www.doi.org/10.15470/akznrb
Chaenorhinum grandiflorum grandiflorum,30SWG81,30SWG8310,https://www.doi.org/10.15470/akznrb
Genista ramosissima,30SWG84,30SWG8040,https://www.doi.org/10.15470/akznrb
Euphorbia terracina,30SWG81,30SWG8511,https://www.doi.org/10.15470/akznrb
Coronopus navasii,30SWF08,30SWF0887,https://www.doi.org/10.15470/akznrb
Rhaponticum coniferum,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Teucrium pseudochamaepitys,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Thesium humile,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Helianthemum syriacum,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Fumana ericoides,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Ballota hirsuta,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Thymus membranaceus,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Erysimum nevadense,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Clematis flammula,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Genista spartioides,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Echinospartum boissieri,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Phlomis lychnitis,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Rosa micrantha,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Rosa micrantha,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Dianthus pungens brachyanthus,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Erysimum nevadense,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Pimpinella tragium lithophila,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Coris monspeliensis monspeliensis,30SWF08,30SWF0884,https://www.doi.org/10.15470/akznrb
Adenocarpus desertorum,29SQD44,---,https://www.doi.org/10.15470/akznrb
Juncus striatus,30STH87,---,https://www.doi.org/10.15470/akznrb
Foeniculum vulgare,30STK81,30STK8319,https://www.doi.org/10.15470/akznrb
Wolffia arrhiza,29SQD09,29SQD0592,https://www.doi.org/10.15470/akznrb
Linaria spartea,30TUK04,---,https://www.doi.org/10.15470/akznrb
Rumex induratus,30TUK04,---,https://www.doi.org/10.15470/akznrb
Lonicera etrusca,30TUK04,---,https://www.doi.org/10.15470/akznrb
Selaginella denticulata,29SQE50,---,https://www.doi.org/10.15470/akznrb
Selaginella denticulata,29SQE50,---,https://www.doi.org/10.15470/akznrb
Lythrum borysthenicum,30TTK53,30TTK5938,https://www.doi.org/10.15470/akznrb
Tuberaria lignosa,29TPE95,---,https://www.doi.org/10.15470/akznrb
Erica arborea,30TTK54,30TTK5944,https://www.doi.org/10.15470/akznrb
Erica umbellata,30TTK54,30TTK5944,https://www.doi.org/10.15470/akznrb
Erodium moschatum,29SPD89,29SPD8997,https://www.doi.org/10.15470/akznrb
Adenocarpus argyrophyllus,30STJ69,---,https://www.doi.org/10.15470/akznrb
Daphne gnidium,29TPE95,---,https://www.doi.org/10.15470/akznrb
Cistus laurifolius,29TPE95,---,https://www.doi.org/10.15470/akznrb
Viola langeana,30TTK54,30TTK5945,https://www.doi.org/10.15470/akznrb
Cytisus multiflorus,30TTK54,30TTK5945,https://www.doi.org/10.15470/akznrb
Linaria elegans,30TTK54,30TTK5945,https://www.doi.org/10.15470/akznrb
Erica australis,30TTK54,30TTK5945,https://www.doi.org/10.15470/akznrb
Halimium umbellatum umbellatum,29TPE95,---,https://www.doi.org/10.15470/akznrb
Foeniculum vulgare,30STK71,30STK7114,https://www.doi.org/10.15470/akznrb
Selaginella denticulata,29SQE40,---,https://www.doi.org/10.15470/akznrb
Malva tournefortiana,30STK41,30STK4616,https://www.doi.org/10.15470/akznrb
Alnus glutinosa,30TTK76,---,https://www.doi.org/10.15470/akznrb
Erysimum merxmuelleri,30TTK55,---,https://www.doi.org/10.15470/akznrb
Paeonia officinalis microcarpa,30TTK55,---,https://www.doi.org/10.15470/akznrb
Pteridium aquilinum,30TTK84,30TTK8544,https://www.doi.org/10.15470/akznrb
