Taxon,UTM10x10,UTM1x1,Ref,References
Carex punctata,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex divisa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex demissa,NA,NA,NA,https://doi.org/10.15470/j3rugb
Carex pilulifera,NA,NA,NA,https://doi.org/10.15470/j3rugb
Hieracium sociale,29TPH71,29TPH7213,NA,https://doi.org/10.15470/j3rugb
Pilosella auriculiformis,30TWN19,30TWN1493,NA,https://doi.org/10.15470/j3rugb
Pilosella hypeurocinerea microvasconica,30TWP00,30TWP0303,NA,https://doi.org/10.15470/j3rugb
Hieracium mateoi,31TCG57,31TCG5574,NA,https://doi.org/10.15470/j3rugb
Beta _,30TUN44,30TUN4646,NA,https://doi.org/10.15470/j3rugb
Elytrigia obtusiflora obtusiflora,30TTN91,30TTN9111,NA,https://doi.org/10.15470/j3rugb
Hieracium boixolense,31TCG57,31TCG5574,NA,https://doi.org/10.15470/j3rugb
Hieracium eriosaliencianum,29TQH36,29TQH3364,NA,https://doi.org/10.15470/j3rugb
Dactylorhiza cantabrica,30TUN64,30TUN6641,NA,https://doi.org/10.15470/j3rugb
Dactylorhiza cantabrica,30TUN54,30TUN5041,NA,https://doi.org/10.15470/j3rugb
Dactylorhiza cantabrica,30TUN85,30TUN8553,NA,https://doi.org/10.15470/j3rugb
Dactylorhiza cantabrica,30TUN74,30TUN7546,NA,https://doi.org/10.15470/j3rugb
Dactylorhiza cantabrica,30TUN95,30TUN9150,NA,https://doi.org/10.15470/j3rugb
Gentianopsis ciliata,30TUN76,30TUN7064,NA,https://doi.org/10.15470/j3rugb
Scutellaria alpina,30TUN85,30TUN8658,NA,https://doi.org/10.15470/j3rugb
Hieracium paleopyrenaicum,31TCG76,31TCG7066,NA,https://doi.org/10.15470/j3rugb
Hieracium patens,31TDG59,31TDG5793,NA,https://doi.org/10.15470/j3rugb
Hieracium patens,31TDG59,31TDG5793,NA,https://doi.org/10.15470/j3rugb
Hieracium patens,31TDG59,31TDG5792,NA,https://doi.org/10.15470/j3rugb
Hieracium patens,31TDG59,31TDG5993,NA,https://doi.org/10.15470/j3rugb
Hieracium glaucinum,31TFK11,31TFK1215,NA,https://doi.org/10.15470/j3rugb
Hieracium subsetibifidum,31TFK11,31TFK1614,NA,https://doi.org/10.15470/j3rugb
Hieracium setibifidum,31TEK60,31TEK6702,NA,https://doi.org/10.15470/j3rugb
Hieracium jaubertianum,31TEK40,31TEK4607,NA,https://doi.org/10.15470/j3rugb
Pilosella heteromelana,30TVN47,30TVN4576,NA,https://doi.org/10.15470/j3rugb
Hieracium festinum,30TVN47,30TVN4874,NA,https://doi.org/10.15470/j3rugb
Hieracium compositum,31TDG69,31TDG6197,NA,https://doi.org/10.15470/j3rugb
Hieracium racemosum,31TDG69,31TDG6798,NA,https://doi.org/10.15470/j3rugb
Hieracium lycopodoides,31TDG55,31TDG5856,NA,https://doi.org/10.15470/j3rugb
Hieracium fourcadei,30TXN95,30TXN9459,NA,https://doi.org/10.15470/j3rugb
Hieracium fourcadei,30TXN95,30TXN9459,NA,https://doi.org/10.15470/j3rugb
Hieracium glaucinum,31TEU64,31TEU6548,NA,https://doi.org/10.15470/j3rugb
Hieracium compositum,31TDG55,31TDG5856,NA,https://doi.org/10.15470/j3rugb
Hieracium delegidoi,31TCH21,31TCH2416,NA,https://doi.org/10.15470/j3rugb
Hieracium salarduense,31TCH23,31TCH2931,NA,https://doi.org/10.15470/j3rugb
Hieracium martinetianum,31TCG98,31TCG9485,NA,https://doi.org/10.15470/j3rugb
Hieracium altocourelense,29TPH51,29TPH5619,NA,https://doi.org/10.15470/j3rugb
Hieracium casamierense,30TTN66,30TTN6165,NA,https://doi.org/10.15470/j3rugb
Hieracium petri-sedanoi,30TTN66,30TTN6066,NA,https://doi.org/10.15470/j3rugb
Hieracium paleopyrenaicum,31TCG76,31TCG7066,NA,https://doi.org/10.15470/j3rugb
Lunaria annua,30TWN22,30TWN2320,NA,https://doi.org/10.15470/j3rugb
Narcissus abscissus,30TXN67,NA,NA,https://doi.org/10.15470/j3rugb
Myosotis discolor,30TWP20,30TWP2600,NA,https://doi.org/10.15470/j3rugb
Centaurea alba,30TXM01,30TXM0118,NA,https://doi.org/10.15470/j3rugb
Artemisia herba-alba,30TXL17,NA,NA,https://doi.org/10.15470/j3rugb
Centaurea cyanus,30TXM01,30TXM0718,NA,https://doi.org/10.15470/j3rugb
Centaurea triumfetti lingulata,30TXM02,30TXM0027,NA,https://doi.org/10.15470/j3rugb
Narcissus asturiensis jacetanus,30TWN55,30TWN5553,NA,https://doi.org/10.15470/j3rugb
Ambrosia artemisiifolia,30TWN02,NA,NA,https://doi.org/10.15470/j3rugb
Festuca indigesta,30TWM07,30TWM0276,NA,https://doi.org/10.15470/j3rugb
Myosotis arvensis arvensis,30TXP22,NA,NA,https://doi.org/10.15470/j3rugb
Castanea sativa,30TWN09,30TWN0491,NA,https://doi.org/10.15470/j3rugb
Linum suffruticosum appressum,30TVM74,30TVM7048,NA,https://doi.org/10.15470/j3rugb
Linaria glauca bubanii,31TBH70,31TBH7008,NA,https://doi.org/10.15470/j3rugb
Nuphar luteum,30TWN35,30TWN3153,NA,https://doi.org/10.15470/j3rugb
Neslia apiculata,30TWN40,30TWN4004,NA,https://doi.org/10.15470/j3rugb
Luzula sylvatica henriquesii,30TWN23,30TWN2238,NA,https://doi.org/10.15470/j3rugb
Luzula forsteri,30TWN31,30TWN3318,NA,https://doi.org/10.15470/j3rugb
Lithodora diffusa,30TVN99,30TVN9497,NA,https://doi.org/10.15470/j3rugb
Stipa celakovskyi,30TWL82,30TWL8420,NA,https://doi.org/10.15470/j3rugb
Juncus gerardii gerardii,30TWN40,30TWN4804,NA,https://doi.org/10.15470/j3rugb
Juncus articulatus,30TWN24,30TWN2944,NA,https://doi.org/10.15470/j3rugb
Herniaria fruticosa fruticosa,30TWM69,30TWM6994,NA,https://doi.org/10.15470/j3rugb
Casuarina equisetifolia,30TWN09,30TWN0490,NA,https://doi.org/10.15470/j3rugb
Ornithopus pinnatus,30TXP22,NA,NA,https://doi.org/10.15470/j3rugb
Hibiscus palustris,30TXP42,NA,NA,https://doi.org/10.15470/j3rugb
Leucanthemum gaudinii cantabricum,30TXP11,NA,NA,https://doi.org/10.15470/j3rugb
Juncus gerardii,30TXM48,30TXM4284,NA,https://doi.org/10.15470/j3rugb
Narcissus assoanus,30TXN93,30TXN9736,NA,https://doi.org/10.15470/j3rugb
